src,tgt,src_len,tgt_len,Meaning completely changed,remarks
the bit about getting married to keira knightley might be annoying for you if you are not partial to her acting. i might warn you about all that.,"keira knightley se marriage ko lekar jo wakya hai, wo thoda annoying hai agar aap uski acting ko leke thode favorable nahi hai to. tumhe iske bare me warn kar raha hu.",28,32,,
"seemed inflated to me, but i still need to see it","mere liye yeh inflated hai, but phir bhi main isse dekhunga",11,11,,
its a romance movie based on the 1996 novel with the same title by nicholas sparks,wo ek romance movie hai jo 1996 k same naam k novel k upar based hai jise nicholas sparks ne likha hai,16,22,,
yep appreciated critically and commercially,haan critically aur commercially appreciate hui hai,5,7,,
i think it's so funny that regina casually breaks her spine and is hit by a bus,muje tho us regina ka spine breaks huva jab usne bus ko hit huvi us scene ko funny laga,17,19,,
"from 1995, director is john lasseler, 100% rotten tomatoes, 9/10 score.","1995 se, director hain john lasseler, rotten tomatoes mein100%, 9/10 score hai",11,12,,
a 2011 movie,2011 ka movie hein,3,4,,
"yeah in the long run, he felt like he had family there. do you think that he meant his mother at all in that choice?","haan, anth mein, use laga ki uski family wahan thi. kya tumhe lagta hai ki uski choice mein uski mother bhi shaamil thi?",25,23,,
"lol, right!","lol, right!",2,2,,
"john legend plays keith, he is a band member. i bet hes a great bank member!","john legend ne keith ka role play kiya, wo ek band member hai. me bet karta hun ki wo ek great bank member hai.",16,24,,
i had picked the shape of water,mein shape of water ko pick kiya,7,7,,
it's funny to see a movie where two villians are against each other rather than a hero and a villian,aisi movie dekhna kafi funny hai jahan do villain ek dusre ke khilaf hain na ki hero aur villain,20,19,,
"oh, i really like reese, not sure what that says about me.","arre, mujhe vastavme reez pasand hai, lakin woh mere bare me kya bolta hai malum nahi hai",12,17,,
"i am not sure what part he pays. in the first part ryan gosling is at a party and he plays a cover of i ran (so far away), he feels like the song is an isult for a serious musician","mujhe sure nhi hai ki usne konsa part play kiya tha. pehle part mein ryan gosling ek part pe tha or usne i ran (ab tak door) ka cover play kiya tha, wo song aisa lag rha tha ki ek serous musician ki insult ki ho.",41,46,1,"""he feels song is an insult"" is translated as ""wo song..."". "
yeah he's the lead actor. his name is dom cobb and he specializes in conning secrets from victims in their dreams.,haan woh lead actor hai. uska naam hai dom cobb aur uska specialization hai conning secrets from victims unke dreams mein.,21,21,,
"batman intercepts a drug shipment, provides rachel with evidence against falcone, and enlists sergeant james gordon, one of the few honest cops left in gotham, to arrest him. in prison, falcone meets with dr. jonathan crane, a corrupt psychiatrist whom he has helped smuggle drugs into gotham, and threatens to reveal his complicity if he does not declare  him mentally unfit for trial. crane puts on a scarecrow mask and sprays falcone with a fear- inducing hallucinogen that drives him insane (which causes falcone to constantly mouth the  word ""scarecrow""), and has him transferred to arkham asylum. while investigating ""the scarecrow"", batman is exposed to the hallucinogen and left incapacitated. he is saved by alfred and given an antidote developed by fox. when rachel accuses crane of corruption, crane reveals that he has been pouring his fear-inducing drug into gotham's water supply. he drugs rachel with it, but batman saves her and subdues crane, who claims to work for ra's al ghul. batman evades the police to get rachel to safety, administers the antidote, and gives her a vial of it for gordon and another for mass production. ducard reappears at bruce's birthday party and reveals himself to be the true ra's al ghul. having stolen a powerful microwave emitter from wayne enterprises, he plans to vaporize gotham's water supply, rendering crane's drug airborne and causing mass hysteria that will destroy the city. he sets wayne manor aflame and leaves bruce to die, but alfred rescues him.","batman ne intercepts kiya us drug shipment ko, lekin rachel us evidence se falcone ko against kiya, aur sergeant james gordon ko enlists kiya, yek imandar cop tho us gowtham ko left kar de, arrest karne keliye. prison mein, falcone, dr jonathan crane se mila, jo yek corrupt psychiatrist hein jo gotham ko drugs dene par help kiya aur use threatens bhi kiya us complicitiy ko reveal karne pe, agar voh mentally unfit hoga tho use declare nahi karega. crane ne tho us scarecrow mask pehena aur falcone ka dar ko sprays out kiya. voh hallucinogen tha kaafi insane huva fir us arkham asylum ko transferred bhi kiya.. jab scarecrow ko investigating kar rahe the, tab batman ne us hallucinogen ko exposed kiya aur incapacitated ko left kiya. voh alfred ko save kiya aur usse fox ka antidote developed de deya.. jab rachel ko crane ka correptionko accusses kiya gaya, tab crane ne reveal kiya ki usse drug se dar hein aur voh gowtham ka water supply tha.. voh rachel ko drugs addit kiya lekin batman ne usse save kara aur crane ko subdues kiya jo ra ke liye voh work kar raha tha. batmen ne police ko evades kiya aur rachel ko safety kara, ducard ne fir us bruce ka birthday party par aaya aur voh raa ka ham se reveals kar de. voh yek powerful microwave chura liya us wayne enterprises ke saath. aur usne gotham ka water supply ko vaporize karne ka plan kara, aur city ko destroy karne par tula huva tha. lekin wayne manor ne aflame kiya aur bruce ko maar daala, lekin alfred ne recuses ki leiya",247,273,1,all the errors one can think of are here. too long to write about. 
a movie critic said the the hulk was played like he was a reservoir of calm but then became a volcano. i agree.,ek movie critic ne kaha hulk aise play kiya jaise wo shaanti ka reservoir tha but phir volcano ban gaya. main agree karta hu.,23,24,,
"i agree, it was probably my least favorite part of the movie. i feel like they could have taken the story in a different direction.","mein maantha hoon, yeh probably mera least favorite part hein is movie mien.. muje lagtha hein ki yeh story kuch different direction mein ja raha hein",25,26,1,"le ja raha hein"" should be ""le jaa sakthe ahin"""
"the parents dying was sad and unexpected, and a dramatic way to start the film","parents ki maut bohot sad aur unexpected thi, aur movie ko start karne ka dramatic way tha.",15,17,,
"i am not sure about that, and i am not sure about the rating.  it was not too much for my kids, but it may be too much for yours depending on their ages.","muje iske baare mein kuch patha nahi aur uska rating bhi.. mere kids ko bhi nahi patha, lekin yeh apni par depend kartha ki konsa age group dekh sakthe",34,29,,
did you like the movie,tamil,5,1,,
he is the leader of the pack. i really dont think the averages would be as popular as it is if he wasn't the leader of the team,voh pack ka neta hai  mujhe nahin lagata ki avengers utana lokapriy hoga jitana ki vah teem ka neta nahin tha,28,21,,
"yeah i think she was pretty upset. like i said i didn't really understand all of that. i was mostly in it for the math. what an interesting, fascinating story.","haan, mujhe lagata hai ki vah bahut pareshaan thee. jaisa mainne kaha ki main vaastav mein us sab ko samajh nahin paaya hoon. main jyaadaatar ganit ke lie isamen tha. kya dilachasp, aakarshak kahaanee hai.",30,35,1,
a marine biologist and the police try to hunt it before it hurts anyone else.,ek samudree jeevavigyaanee aur pulis kisee aur ko chot pahunchaane se pahale usaka shikaar karane kee koshish karatee hai.,15,19,,
"ahaahah, ok","ahaahah, accha",2,2,,
have you ever seen the movie 'the blind side'?,"aap kabhi ""the blind side "" movie dekha hai?",9,9,,
"the local fisherman do catch a shark, a tiger shark. they assume that that's the killer shark.","sthaaneey machhuaare ek shaark, ek baagh shaark ko pakadate hain. ve maanate hain ki yah hatyaara shaark hai.",17,18,,
i agree,i agree,2,2,,
when i can catch the movies in 3d i try to watch them. it's a different experience but can easily ruin a movie. what do you think,"jab i can watch the movies in 3d, i try to watch. it's a different experience par can easily ruin a movie. tum kya sochte ho?",27,26,,
i think i know the football player it was based on,muje lagtha ki yeh football player ke baare mein hein,11,10,1,
"oh yes, very much","oh haan, kafi",4,3,,
is it meant to be a children's movie or one for adults?,wo movie bacchon ke liye hai ya adults ke liye ?,12,11,,
what else do you know about the movie?,aur kuch patha hein kya us movie ke baare mein?,8,10,,
hi. can you tell me the name of the movie?,namaste. kya aap  mujhe philam ka naam baata sakte hai,10,10,,
i do think maybe some of the scenes they describe with jimmy hoffa's body sound cheesy. i'm not sure!,mujhe lagata hai ki sayad jimmy hoffa ki body sound ke saath kuchh drashyon ka varnan hai. main sure nahin hu!,19,21,1,
do you know what age group? i may want to have my children see it.,kis age group ke liye ? i may want to have my children see it.,15,15,,
do you think hiccup cheats because of what he learns from toothless ? (by using it his training class?),kya tumhe lagta hai hiccup cheat karta jo bhi toothless se seekha? ( apni training class me wo chez use karke?),19,21,,
"after the mccallisters mistakenly leave for the airport without kevin, he awakens to an empty house and assumes his wish t","mistakenly  mccallisters ke kevin ke bina airport leave karne ke baad, wo ek empty house me jaaga aur usne wo maan liya",21,22,1,
"its sort of an american neo-noir action flick. one critic described it as  ""fired up, ferocious b movie fun we can't get enough of"".","ye american neo-noir action flick ke sort ki he. ek critic ne ise  ""fired up, ferocious b movie fun ab asse adhik hum nahi pa sakte""  ki tarah descerib kiya he.",24,31,,
"ryan gosling is the best, so this is the movie that made him big. is it a period piece?","ryan gosling best hai, to ye wo movie hai jisne use bada bana diya. kya ye ek period piece.",19,19,,
"and in the movie, the court rules the newspaper 6-3, that must of been a shocker","aur  movie me, court ke rules the newspaper 6-3, ye shocker hona chahiye the.",16,14,,
"yes, the end is surprising. the movie will keep you on the edge of your seat.","haan, end tho surprising hein.. movie tho badiya hein",16,9,,
"when looking at movie reviews, i put more faith in actual regular people that go see the movie then i do official critics.","jab movie reviews dekhte, main faith official critics se zyada asal regular logo pe dekhta huin jo movie dekh kar aaye hain",23,22,,
"thats true. i dont think an 8 year old would come up with those but i dont think he would have ""needed his own money"" either i think xmas was perfect they were traveling for the holidays.. i prefer the other one tho where hes stuck in nyc ","sach yar.. muje nahi lagtha ki 8 saal bacha is tarah ka soch lekhe aayega, jarur usse money ka jaruri hoga ya usse xmas ka holidays ache tarah travel karna chatha hoga..",48,32,1,not completely translated. and  mistranslated. 
the part where she was going to release the creature is pretty crazy,jo part mein us creature ko release kiya woh pretty crazy hai,13,12,,
"well, that kinda of makes it more inviting to me, keira nightly must be sad to find that out!","khair, yah thode ise aur adhik mere lie aamantrit karata hai, keira naitalee ko yah pata lagaane ke lie dukhee hona chaahie!",19,22,1,
i like that it based on a real character. at one point he steals 2.8 million dollars.,us real character mujhe achhi lagi . ek samay vah 2.8 million dollors chori kartha hain,17,16,1,
"yes, i've heard of it. i just havent seen it yet","yes, maine suna hai uske baare mein. i just havent seen it yet",11,13,,
same here! my wife hates those movies and don't like to see them.,mujhe bhee! meree patnee un philmon se napharat karatee hai aur unhen dekhana pasand nahin karatee.,13,16,,
"yes, it was the first film in the franchise from a few years ago","han, ye film ki first franchise thi kuch years pehle",14,10,1,film and franchise are interchanged
wonder woman is the right name for her cause i always wonder why they took so long to get her into the movies,wonder woman uske liye sahi naam hai cause i always wonder why they took so long to get her into the movies,23,22,,
"but i really was surprised that someone reviewed sebastian as a ""jazz snob"" because i did not get that vibe at all",lekin main bohat surprised tha ki kisine sebastaian ko 'jazz snob' review kia kyunki mujhe aisi vibe nahi aati,22,19,,
the fight scenes do tend to get kind of violent but they are very immerssoive,fight scenes thode violent hai lekin woimmerssoive hai,15,8,1,wrong tokenisation
ok...so is interaction between robos will be shown..or how it is?,ok... tho yeh robos ka interaction ke baare mein... ya yeh kaise hein?,11,13,1,"ke baare min"" should be ""dikhate hain"" "
yeah i saw that,han maine dekha tha,4,4,,
"sandra's friends in the movie criticize the actor, wondering why she would adopt a black kid. very empowering","movie mein sandra ke friends actor ko criticize karte hain, hairan hote huye ki wo black kid ko kyun adopt kar rahi hai. bohat empowering",18,25,,
"the part where he creates the email system to answer prayers and sets it to auto-reply ""yes"" is pretty funny and says a lot about religion.","vah hissa jaha vah prarthanao ka javab dene ke liye email system banata hai aur ise auto-reply ""haa"" ke liye set karata hai vah bahut hi majedar hai aur dhharm ke bare me bahut kuchh kahata hai.",26,37,,
it is! and what a crazy story... basically he got dumped and made millions off of trying to get even with her.,ye hai! kya crazy story hai ..basically wo dumped hogaya aur usse badle lete huye millions kama liye,22,18,,
i think he was withdrawn from living in the projects and have a drug addicted mother. he was taken in by the white family when they realized he was hanging out in the gym. her friends thought she was crazy to take him in.   the hired a tutor to help him get through high school.,muje lagtha hein ki voh apne projects se withdraw kara hoga kyon ki uske paas drug addicted ma tho hei... jab voh gym mein they tho usko white family ne lei liya hai.. uska  friends tho crazy they uske liye.. yek tutor ko hired kiya usko high school mein help karne ko,55,52,1,"her friends thought she was crazy is translated to ""uska friends tho crazy they uske liye"""
i argree. i did not like hans,mein maantha hoon. muje bhi hans pasand nahi hein,7,9,,
oh ok. talks about his experience as a stockbrocker?,are ok.stockbrocker ke tarah uska experience ki tarah bat kara he?,9,11,,
how did it do at the box office?,box office me usne kaise kiya?,8,6,,
so fairly new. at least compared to some of the other disney princess movies!,thoda naya hai kam se kam doosre disney princess movie ki tulna mein,14,13,,
i have to say so. the insight they provide about how he became batman was eye opening. it was really sad to see him lose his parents like that.,main bhi yahi samjhta hoon. jo insight di hai ki woh batman kaise bana woh aankh kholne wali hai. dekh ke bahut dukh hua ki usne apne parents ko kho diya.,29,31,,
maybe not. i'd still check it out though.,shayad nahi. fir bhi main isey check karunga.,8,8,,
he then starts his complaints to god who ends up responding with the proposition that gives him his powers,"wo iske baad god se complain karta, god uski baat par respond karte hai aur ek option dete hai jisse uske pass power aa jati hai",19,26,,
that’s ok i’ve got a bunch information from we  can figure it out,"iske baare mein , muje kaafi information mila hein",13,9,1,
"the vikings expel most of the dragons but attacked by the red death until hiccup, astrid fly in riding the dragons provide cover . hiccup almost drowns trying to break toothless free from a sinking ship but stoick saves them both and then reconciles with his son.","viking most of dragons ko expel kar dete hain lekin aur red death se attack ho jaate hain jab tak astrid aur hiccup dragons par cover provide nahi karte, hiccup lagbhag drown kar jata hai toothless ko free karne ki try mein ek sinking ship se but sroick un dono ko save karta hai aur apne son ke saath reconcile karta hai",47,62,,
"i am not really familiar with sally hawkins, however michael shannon  and richard jenkins are great actors!","main sally hawkins se zyada familiar nahi hun, lekin michael shannon and richard jenkins great actors hain!",17,17,,
i do like the setting,mujhe setting acchi lagi,5,4,,
"the acting...leo, hanks, walkin...was great.","the acting.. leo, hanks, walkin .. mahan the",5,8,,
i love animations and pixar is amazing. this one was really perfect. as it was mentioned a work of genius.,mujhe animations pasand hain aur pixar amazing hai.yeh bahut perfect tha.jaise mention kiya tha ki ye ek genius ka work hai.,20,21,,
"i personally prefer good ratings. even if a movie has many good actors, if it's rated poorly, i usually won't watch it in theaters.",main personally acchi ratings prefer karta hun .even agar kisi movie mein kayi acche actors hain lekin agar uski rating kharab hai to main usko usually theaters mein nahi dekhta.,24,30,,
he got whats coming to him. but  bruce dosent get to murder him so i think that leaves him wanting revenge,jo uske liye hona tha usko mil jata hai. but brucse uska murder nahi karta to main sochta hu wo uski badla leni ki chahat rah jaati hai.,21,28,,
he has some gread monolouges,uske pass kuch mahan monolouges hai,5,6,,
"it was more popular than the book it was based on, the accidental billionaires, probably because it's a tale of sex, money, and betrayal. stuff we can all identify with","yah jis kitab par yah aadharit hai usse bhi jyada popular hai, the accidental billionaires, probably because ye kahani hai sex, money aur dhokhe ki, wo stuff jiske sath ham sab identify karte hai.",30,34,,
you know though to be honest if you look at the way the world is today so full of bad it makesperfect sense in a world view to have them as enemies.,tum jaante ho to be honest agar duniya ko aise dekhoge jaise abhi hai to unka dushman hona makes perfect sense,32,21,,
typically no since i generally like to watch anime. but if the franchise is one i watched when i was a kid. then i usually will make a effort to see it.,zyadatar nhi main aamtaur par anime movies dekhta huin. lekin jab main bacha tha to ek hi franchise dwara banayi gayi movies dekhta tha. to main aamtaur par aisi movies dekhne ki koshish krta huin.,32,35,,
did you like the movie.,kya tumhe movie pasand aayi.,5,5,,
no i haven't.,"no, maine nahi dekhi.",3,4,,
"she is trite, absolutely, but the director does make it work here.","vah bilkul trait hai, lekin nirdeshak ise yahaan kaam karate hain.",12,11,,
the movie is about a young child named kevin who was abandoned by his family when they went for their christmas vacation,movie ek chhote bacche kevin k baare me hai jise uski family christmas vacation manane jaate hue abandon kar deti hai,22,21,,
"yes, i thought so also","haan, muje bhi kuch aise hi laga",5,7,,
it's really sort of sad to me. he hasn't really changed from the beginning of the story.,mujhe to ye sad laga. wo story ki beginning se jyada badla nahi.,17,13,,
"i don't much care for review sites, i would rather watch a movie and judge it myself.","main saiton kee sameeksha karane ke lie bahut paravaah nahin karata, main ek philm dekhoonga aur ise khud jaj karoonga.",17,20,,
what i can't believe is that because of the mayor the coroner changes his ruling from shark attack to boat attack.,mujhe vishvaas nahin hota ki mahaapaur kee vajah se koronar shaark ke hamale se lekar naav ke hamale tak ke apane phaisale ko badal deta hai.,21,26,,
was interesting to see hugh play a more domestic role,hugh ko dekhne ka bahut interesting hein jo domestic role play karte,10,12,1,wrong markers and post positions
"i don't know, but zuckerberg was given 6 months academic probation for hacking into college databases and crashing the harvard computer network. so he's aware of what kind of damage a rogue programmer can do.","main nahi jaanta, par zukerbreg ko college database ko hack karne aur harward computer network ko crash karne ke liye 6 months ka academic probation mila tha. so wo is baat se aware hoge ki rogue programmer kis prakar ka damage kar sakte hai.",35,44,,
directions stated we talk for 20 min. i am supposed to convince you to watch the film,directions mein bola hai hum 20 min. talk kare. mein tumko film dekhne ke liye convince karu,17,17,,
and i didn't know it was a twilight zone episode.,aur muje twilight zone episode ke baare mein tho kuch patha nahi hein,10,13,1,
"well,  its been acclaimed as the best musical made by disney",acchi trah se ye dizhi dwara nimrit savarshesth sangit ke rup mein parsanshit hai,11,14,,
"i agree, i thought they weren't too special. all in all it was a great movie!","i agree, mujhe laga ye zyada special nahi tha. all in all ye great movie thi!",16,16,,
idk maybe to make sure they are scary enough.,kuch scary tarah ho sakthe hein,9,6,1,
the 2004 ryan gosling drama: the notebook,2004 ryan gosling ka drama: the notebook,7,7,,
up uuuuuuntil she died. she broke the rules.....and rules are rules...lol,lakin voh mar gayi.. usne rules break kiya isiliye kehete rules toh rules hi hein lol,11,16,1,
their vacation was certainly ruined while kevin was in the process of rigging up their house with booby traps for harry and marv! that was a hilarious scene as well!,unki vacation certainly ruin hogayi hogi jab kevin unke house ko booby traps se rig karne ke process mein tha harry aur marv ke liye! wo scene bhi hilarious tha,30,30,,
"the adaptation starring leonardo dicaprio? i did indeed, it was enrapturing!",leonardo dicaprio abhineet anukoolan mainne vaastav mein kiya tha,11,9,1,
guilllermo del toro certainly has an active imagination,guillerma del toro ke pass active imagination hai.,8,8,,
"the music in movie is very catchy and enjoyable, so i agree.","philm mein sangeet bahut hee aakarshak aur aanandadaayak hai, isalie main sahamat hoon.",12,13,,
wow that is pretty good. so what happens with the plot?,"wow, ye to kaafi accha hai, to plot k sath kya hota hai?",11,13,,
"well, like one person put it, it's funny in a woody allen sort of way. since it's a classic, it might not be exactly as you remember. might be worth the watch even if just for the laughs!","khair, jaise ek vyakti ne ise rakha, yah ek tarah se vudee elan kee tarah mazedaar hai.choonki yah ek klaasik hai, yah theek vaisa nahin ho sakata jaisa aap yaad karate hain. bhale hee sirph hansee ke lie ghadee dekhane laayak ho!",38,42,1,ghadee dekhne  for worth the watch
u should...its super ..i will try to look for it any day that she wont be coming over for weekend,tum bhi..ye super he..me kisi bhi din ye dekhne ka try karunga ki voh weekend par aa rahi he ki nahi,20,21,,
i agree. the movie is kind of silly the more you think about it. especially when people keep believing the town and beach team that everything is fine. yet people keep dying? i guess they want you to suspend disbelief. haha.,"main agree karta hoon. movie ek tarah se silly hai , jitana bhi aap isake baare mein sochate hain. khaasakar jab log shahar aur beach team par vishvaas karate rahate ki sab kuchh theek hai.phir bhee log marate rahate hain? mujhe lagata hai ki ve chaahate hain ki aap disbelief ko suspend karen. hah।",41,54,,
yes greed is powerfull,han greed powerful hai,4,4,,
"i think that was another big feminist point in the movie, in my opinion. the ending of the movie was very heartfelt and connected how wars of the past influence our present when princess diana emailed bruce wayne","i think woh ek bada feminist point hai movie hai, mere opinion hai.movie ka ending bahut heartfelt tha aur connect kiya ki kaise past wars hamare present ko influence karte hain princess diana ne email kiya bruce wayne ko",38,39,,
usually sequels can be disappointing but that doesn't seem to be the case with animated movies.,aamataur par seekval niraashaajanak ho sakate hain lekin yah enimeted philmon ke maamale mein nahin lagata hai.,16,17,,
cumberbach was really the highlight of the film,cumberbach film ke mukhya akarshan tha .,8,7,,
kevin's mother realizes that he is lost once they arrive at their destination and she trys to get on a flight back home but there are none available so she drives back with strangers,"kevin ki mom ko tab realise hota hai ko wo chhut gaya jab wo apni destination pe aajate hai, phir wo return flight lene ki koshish karti hai but koi available nahi rahta to wo wapas strangers k sath drive karte huye ati hai",34,44,,
although i  expect a few hidden adult jokes cause college and fraternity makes me think they slip one or two in there.,thoda hidden adult jokes hein us college aur fraternity ne tho yek ya do slip jarur liya hoga,22,18,1,
sounds like you're pretty clever! ironic they named the boat the orca in the movie. those orcas are supposed to be pretty safe.,lagata hai ki tum bahut chaalaak ho! vidambana hai ki unhonne philm mein naav ka naam orka rakha hai. un orchas bahut surakshit maana jaata hai,23,26,,
"well, it was interesting, to say the least. the idea of planting something into another persons subconscious made me think for sure. ","well, kam bolna interesting tha. kisi dusre ke subconscious mein kuch plant karne ke idea nei mujhe sure kar diya.",22,20,1,
